Domain,Company Name,Company Region,Company Country,Company Industry
airpush.com,"Airpush, Inc",California,United States,Marketing & Advertising
tradedoubler.com,Tradedoubler,,Sweden,Marketing & Advertising
compete.com,"Compete, Inc.",Massachusetts,United States,Market Research
rcn.com,RCN,New Jersey,United States,Telecommunications
nextiva.com,Nextiva,Arizona,United States,Telecommunications
live.com,Netcreate,California,United States,Software & Internet: Software
ifbyphone.com,DialogTech,Illinois,United States,Marketing & Advertising
whatcounts.com,WhatCounts,Georgia,United States,Marketing & Advertising
readytalk.com,ReadyTalk,Colorado,United States,Telecommunications
plantronics.com,Plantronics,California,United States,Telecommunications
hostway.com,"Hostway Services, Inc",Illinois,United States,Information Technology & Services
semrush.com,SEMrush,Pennsylvania,United States,Internet
kudzu.com,Kudzu,Georgia,United States,Internet
zinio.com,ZINIO,California,United States,Publishing
wirefly.com,Wirefly,Virginia,United States,Consumer Electronics
sonyentertainmentnetwork.com,PlayStation™Network - Sony Network Entertainment Int’l,,,Computer Software
twilio.com,Twilio Inc.,California,United States,Internet
actonsoftware.com,"Act-On Software, Inc.",Oregon,United States,Computer Software
newhaven.edu,University of New Haven,Connecticut,United States,Higher Education
ussearch.com,US Search.com,California,United States,Internet
name.com,Name.com,Colorado,United States,Information Technology & Services
3dcart.com,3dcart,,,Internet
altova.com,Altova,Massachusetts,United States,Computer Software
android.com,Android Inc.,California,United States,"Telecommunications, Telephone Service Providers and Carriers, Telecommunications, Video and Teleconferencing"
jimdo.com,Jimdo,California,United States,Internet
headsets.com,Headsets.com,California,United States,Telecommunications
phonepower.com,VOIP.COM,California,United States,Telecommunications
prana.com,prAna Living,California,United States,Apparel & Fashion
templatemonster.com,TemplateMonster.com,,,Design
puretalkusa.com,Pure TalkUSA,Georgia,United States,Telecommunications
findmespot.com,Globalstar/SPOT Inc,,,Consumer Electronics
gazelle.com,Gazelle,Massachusetts,United States,Internet
tracfone.com,TracFone Wireless,Florida,United States,Telecommunications
infoblox.com,Infoblox,California,United States,Computer Networking
houzz.com,Houzz,California,United States,Internet
verizon.net,Verizon,New Jersey,United States,Information Technology & Services
rogers.com,Rogers Communications,Ontario,Canada,Telecommunications
pgi.com,PGi,Georgia,United States,Information Technology & Services
lifesize.com,Lifesize,Texas,United States,Telecommunications
comm100.com,Comm100,British Columbia,Canada,Computer Software
bitly.com,Bitly,New York,United States,Internet
proofpoint.com,Proofpoint,California,United States,Computer & Network Security
niu.edu,Northern Illinois University,Illinois,United States,Higher Education
namecheap.com,"Namecheap, Inc",California,United States,Information Technology & Services
rtrk.com,,,,
avangate.com,Avangate,,Netherlands,Computer Software
earthlink.net,earthlink,Georgia,United States,Telecommunications
onstar.com,OnStar,Michigan,United States,Automotive
tel3.com,TEL3,Florida,United States,Telecommunications
ipage.com,IPage,Massachusetts,United States,Business Services: Business Services Other
toptenreviews.com,Top Ten Reviews,Utah,United States,Internet
godish.com,GoDISH.com,Texas,United States,Marketing & Advertising
quirky.com,Quirky,New York,United States,Consumer Goods
mediatemple.net,Media Temple,California,United States,Internet
winegard.com,Winegard Company,Iowa,United States,Telecommunications
ooma.com,"Ooma, Inc.",California,United States,Telecommunications
good.com,Good Powered by BlackBerry,California,United States,Wireless
optimum.com,"Paggi Engineering, Lawrence J. Paggi PE,PC",New York,United States,Civil Engineering
onecallnow.com,One Call Now,Ohio,United States,Telecommunications
webcrawler.com,WebCrawler,,,Graphic Design
safelinkwireless.com,Safe Link,Ontario,Canada,Business Services: Security Services
intercall.com,West Unified Communications Services,Illinois,United States,Telecommunications
pingdom.com,Pingdom,,Sweden,Information Technology & Services
box.net,Box,California,United States,Internet
webnode.com,Webnode AG,,,Information Technology & Services
gazeta.pl,Gazeta,Ontario,Canada,Media & Entertainment: Media & Entertainment Other
kissmetrics.com,Kissmetrics,California,United States,Internet
stackexchange.com,Stack Overflow,New York,United States,Internet
livehelpnow.net,LiveHelpNow,Pennsylvania,United States,Internet
ting.com,TING,,India,Marketing & Advertising
mophie.com,mophie,California,United States,Consumer Electronics
tinyurl.com,TinyURL,,,Information Technology & Services
myfax.com,MyFax Online Fax Service,Ontario,Canada,Telecommunications
stumbleupon.com,StumbleUpon,California,United States,Internet
consolidated.com,Consolidated Communications,Illinois,United States,Telecommunications
case-mate.com,Case-Mate,Georgia,United States,Consumer Goods
comcast.net,Comcast,Michigan,United States,Telecommunications: Cable Television Providers
vagaro.com,Vagaro Inc,California,United States,Internet
internap.com,Internap Corporation (INAP),Georgia,United States,Information Technology & Services
cellularoutfitter.com,"CellularOutfitter - Portfolio company of Mobovida, LLC",California,United States,Internet
motorolasolutions.com,Motorola Solutions,Illinois,United States,Telecommunications
info.com,Roanoke Valley Christian Schools,Virginia,United States,Education Management
dealtime.com,eBay Advertising,California,United States,Internet
ivillage.com,iVillage,New York,United States,Online Publishing
3dissue.com,3D Issue,,Ireland,Information Technology & Services
spigen.com,Spigen Inc,California,United States,Electrical & Electronic Manufacturing
findthebest.com,Graphiq Inc.,California,United States,Internet
trumpia.com,Trumpia,California,United States,Internet
griffintechnology.com,Griffin Technology,Tennessee,United States,Consumer Electronics
softlayer.com,"SoftLayer, an IBM Company",Texas,United States,Internet
justhost.com,Just Host,,,Internet
meraki.com,Cisco Meraki,California,United States,Computer Networking
myway.com,My Way,,,Marketing & Advertising
freeconferencecall.com,FreeConferenceCall.com,,,Telecommunications
brighthouse.com,Bright House Networks,New York,United States,Telecommunications
home.pl,home.pl,,Poland,Internet
acquia.com,Acquia,Massachusetts,United States,Computer Software
sakura.ne.jp,Sakura,,,Arts & Crafts
inbox.com,Inbox.com,New Jersey,United States,Transportation & Storage: Warehousing and Storage
mxtoolbox.com,MxToolBox,Texas,United States,Information Technology & Services
viglink.com,VigLink,California,United States,Internet
nifty.com,FANTASISTA AND PARTNERS CO,New York,United States,Marketing & Advertising
harris.com,Harris Corporation,Florida,United States,Defense & Space
italkbb.com,"iTalk Global Communications, Inc",Virginia,United States,Telecommunications
securepaynet.net,Computek Inc.,Iowa,United States,"Software & Internet, E-commerce and Internet Businesses"
bluetooth.com,Bluetooth SIG,Washington,United States,Wireless
brandbucket.com,BrandBucket,California,United States,Internet
credomobile.com,CREDO Mobile,California,United States,Telecommunications
cchgroup.com,Wolters Kluwer Tax & Accounting US,Illinois,United States,Information Technology & Services
incredimail.com,IncrediMail,New York,United States,"Software & Internet, Software & Internet Other"
dogpile.com,Infospace,Washington,United States,Internet
ubreakifix.com,uBreakiFix,Florida,United States,Consumer Electronics
thenextweb.com,TNW,,Netherlands,Online Publishing
flippa.com,Flippa,,Australia,Internet
cartoys.com,Car Toys,Washington,United States,Retail
sedo.com,Sedo.com,,Germany,Internet
surveygizmo.com,Widgix Software,,,Market Research
123contactform.com,123ContactForm,,,Internet
ucoz.com,uCoz,,,Internet
televisionfanatic.com,,,,
findtherightjob.com,,,,
zimbra.com,Zimbra,California,United States,Computer Software
lingo.com,"Lingo, Inc.",Virginia,United States,Telecommunications
cellphoneshop.net,Phone Shop,California,United States,"Real Estate & Construction, Construction and Remodeling"
phone.com,Phone.com,New Jersey,United States,Information Technology & Services
mywebsearch.com,MyWebSearch,Arkansas,United States,"Manufacturing: Textiles, Apparel and Accessories"
soluto.com,Soluto,Texas,United States,Internet
backupify.com,Backupify ,Massachusetts,United States,Information Technology & Services
livedoor.jp,Livedoor,,,Internet
adblade.com,Adblade,New Jersey,United States,Marketing & Advertising
cakemail.com,Cakemail,Quebec,Canada,Marketing & Advertising
radaris.com,Radaris,Massachusetts,United States,Consumer Services
benchmarkemail.com,Benchmark Email,California,United States,Marketing & Advertising
tinydeal.com,TinyDeal.com,,,Retail
ebizautos.com,eBizAutos,Nevada,United States,Internet
liquidweb.com,Liquid Web,Michigan,United States,Internet
scorebig.com,ScoreBig,California,United States,Entertainment
